"season_id","player_id","position","season_coverage_grade","snap_count"
"2019","9940","S","38.5",4
"2019","9966","S","50.6",6
"2019","9881","CB","44.3",3
"2019","9892","CB","66.5",97
"2019","10346","S","44.3",24
"2019","10639","CB","44.6",76
"2019","10109","S","50.5",45
"2019","10692","S","55.8",35
"2019","10644","CB","47.6",78
"2019","10645","CB","70.1",90
"2019","10672","CB","62.9",65
"2019","10648","S","49.1",59
"2019","10651","S","38.2",66
"2019","10658","CB","45.9",52
"2019","10659","CB","73.5",1
"2019","10694","CB","54.8",7
"2019","10688","CB","54.3",15
"2019","10695","S","54.3",77
"2019","10696","CB","78.2",74
"2019","10698","S","60.2",87
"2019","10702","S","51.2",10
"2019","10711","CB","57.9",90
"2019","10758","S","62.4",6
"2019","10718","CB","70.7",70
"2019","10732","S","70.9",56
"2019","10740","CB","55.7",21
"2019","10823","CB","58.3",74
"2019","10791","CB","60",1
"2019","10801","S","66.3",30
"2019","10838","S","60",1
"2019","10843","CB","67",10
"2019","11052","CB","77.8",61
"2019","10846","S","65.4",7
"2019","10853","S","64.2",47
"2019","10878","CB","78.9",62
"2019","10879","S","62.3",9
"2019","10898","CB","50.7",51
"2019","10902","S","74.4",76
"2019","11761","S","68.8",74
"2019","11217","CB","90.7",80
"2019","11353","CB","37.5",24
"2019","11358","CB","34.9",6
"2019","11418","CB","60.8",30
"2019","11766","CB","52.2",78
"2019","11798","CB","72.5",51
"2019","11782","CB","54.9",95
"2019","11788","CB","73.8",75
"2019","11791","S","75.5",95
"2019","11794","S","81.2",89
"2019","11770","S","80.8",74
"2019","11771","CB","63.3",81
"2019","11773","CB","64.4",78
"2019","11779","CB","56.1",78
"2019","11780","S","49.6",68
"2019","11815","CB","73.5",93
"2019","11821","CB","83.3",94
"2019","11849","S","75.8",39
"2019","11850","CB","66.4",28
"2019","11854","CB","60.1",70
"2019","11866","S","27.6",59
"2019","11797","S","65.5",77
"2019","11845","CB","70.7",99
"2019","11846","CB","83.5",37
"2019","11847","S","65.2",87
"2019","11867","S","71.4",93
"2019","11868","S","74.6",61
"2019","11878","S","75.1",70
"2019","11801","CB","52.8",28
"2019","11962","S","63.9",8
"2019","11906","CB","64",45
"2019","11913","CB","59.8",40
"2019","11920","CB","52",15
"2019","11904","CB","57.1",46
"2019","11941","S","63.4",7
"2019","11946","S","61.3",93
"2019","12040","CB","63.2",3
"2019","12955","CB","65.4",3
